id,title,date,outlet,language,orientation
Right.57,Limpopo needs R1.7 billion to rebuild flood damaged roads,"January 24, 2026",The Citizen,English,Right
Right.58,Massive sewage spill flowing into Potomac River upstream from Washington,"January 23, 2026",OC Register,English,Right
Right.59,"Trump Cancels $30B Of Biden’s ‘Green Energy’ Loans, Revises Another $53B","January 23, 2026",USSA News,English,Right
Right.60,Ontario commits $16M to replace Quinte West water station,"January 23, 2026",The Intelligencer,English,Right
Right.61,From logging to law enforcement: Inside Nigeria’s fight to save Okomu forest,"January 23, 2026",MalayMail,English,Right
Right.62,"Poland Must Pay Fine Over Border Coal Mine, ECJ Rules","January 22, 2026",The European Conservative,English,Right
Right.63,IDF launches campaign against Palestinian air pollution,"January 22, 2026",World Israel News,English,Right
Right.64,Defense Minister orders immediate enforcement for burning garbage,"January 22, 2026",Israel National News,English,Right
Right.65,"Denmark Considering Building Small Nuclear Reactors, Lifting Of 1985 Nuke Ban","January 23, 2026",NDTV,English,Right
Right.66,‘Climate change is no longer a high priority for the attending global elites’ at the World Economic Forum meeting in Davos,"January 21, 2026",Watts Up with That?,English,Right
Right.67,Fujiyama commissions Rs 300 cr solar cell project in UP to support in-house capabilities,"January 22, 2026",The Print,English,Right
Right.68,EU Wind and Solar Power Overtake Fossil Fuels for First Time,"January 22, 2026",Hungarian Conservative,English,Right
Right.69,Floods kill four as Tunisia sees heaviest rain in decades,"January 21, 2026",Alarabiya English,English,Right
Right.70,"China defends wind power strategy, says Trump is wrong","January 22, 2026",The Straits Times,English,Right
Right.71,"Polar Vortex Now Has Millions In Over 35 States Threatened By Potentially Historic, Catastrophic Winter Storm","January 21, 2026",The Daily Caller,English,Right
Right.72,Children bear brunt of devastating Mozambique floods,"January 22, 2026",Vatican News,English,Right
Right.73,"Climate change fuels disasters, but deaths don't add up","January 21, 2026",Bangkok Post,English,Right
Right.74,Tunisia Floods Kill at Least 4 After Record-Setting Rain,"January 21, 2026",The Media Line,English,Right
Right.75,"Floods kill at least 5 in Tunisia, Algeria as severe weather disrupts daily life","January 20, 2026",Anadolu Ajansi,Turkish,Right
Right.76,Trump aims to fast-track LA rebuild with executive order to bypass California red tape,"January 27, 2026",Fox News,English,Right
Right.77,"No more high noon on the high seas: Singapore reviewing laws, policies to fulfil UN global treaty","January 20, 2026",The Straits Times,English,Right
Right.78,"Fayette Township mulls 1,350-acre solar power plant that already inked leases with two planning commissioners","January 20, 2026",The Midwesterner,English,Right
Right.79,"Trump order targets rebuilding after California wildfires, Newsom seeks money instead","January 27, 2026",WTVB,English,Right
Right.80,"James O'Keefe goes undercover at Davos, records climate execs on carbon taxes, 'artificial rain'","January 21, 2026",The Post Millenial,English,Right
Right.81,UN report declares global state of 'water bankruptcy',"January 21, 2026",Bangkok Post,English,Right
Right.82,UN Scientists Call for Reset of Global Water Agenda Amid Water Bankruptcy,"January 22, 2026",The Astana Times,English,Right
Right.83,Will penguins win against climate change? Science has the answer,"January 21, 2026",India Today,English,Right
Right.84,"Penguins Are Breeding Earlier Than Usual, Courtesy Warming Antarctica","January 20, 2026",NDTV,English,Right
Right.85,Anti-Pollution Curbs Under GRAP 4 Revoked In Delhi As Air Quality Improves,"January 20, 2026",NDTV,English,Right
Right.86,"Dense fog blankets Delhi-NCR, flight operations hit amid low visibility; AQI in 'severe' category","January 19, 2026",India News,English,Right
Right.87,"""Worse than the blue crab."" The sea nut invades the Venice lagoon: why it's dangerous.","January 27, 2026",Il Giornale,Italian,Right
Right.88,"Indonesia revokes gold mine, plantation permits after floods","January 21, 2026",The Straits Times,English,Right
Right.89,Indonesia revokes permits of 28 firms after deadly floods,"January 20, 2026",CNA,English,Right
Right.90,Pakistan warns UN of water security crisis after India’s IWT move,"January 21, 2026",The Nation,English,Right
Right.91,How India's Post-Pahalgam Indus Treaty Freeze Led To Pak's Water Panic,"January 20, 2026",NDTV,English,Right
Right.92,Davos: Joshi Calls for Investments in India’s Renewable Energy Surge,"January 20, 2026",Report Wire,English,Right
Right.93,The AI Boom Will Increase US Carbon Emissions—but It Doesn’t Have To,"January 21, 2026",DNYUS,English,Right
Right.94,"‘Doomsday Clock’ moves closer to midnight over threats from nuclear weapons, climate change and AI","January 27, 2026",OC Register,English,Right
Right.95,Storm Chandra flood warnings map shows where 'danger to life' risk looms over Britain,"January 27, 2026",Express,English,Right
Right.96,"BRACE FOR IMPACT Storm Chandra weather alert update as ENTIRE country under Met Eireann warning amid 120kph winds, floods & snow fears","January 26, 2026",The Irish Sun ,English,Right
Right.97,Landslide leaves Italian town on cliff edge,"January 27, 2026",Bangkok Post,English,Right
Right.98,US formally withdraws from Paris climate accord,"January 27, 2026",Bangkok Post,English,Right
Right.99,Health Impacts Due To Plastics Worldwide May Double By 2040: Report,"January 27, 2026",NDTV,English,Right
Right.100,"Health threat of global plastics projected to soar, says study","January 27, 2026",The Straits Times,English,Right
